Date,U,CC,delT,AirT,Humidity,Prec(mm/d),swr(w/m2),inflow(m3/s),Ice_d,days from iceoff,MLD,W,thermD,NOX,O2,PO4,TotP,NH4,Si,Chl
2017-04-11,5.8300416666666655,0.6625,0.0998333333333336,4.36,71.02083333333334,0.0,339.6,0.609,86,10.0,-21.0,0.0014061154273809,-15.0,2.968693042020909,441.8850279920088,0.40569721167890627,1.2438292090045875,0.41819755973805617,48.473868171120564,12.678521436241732
2017-04-12,2.719583333333333,1.0,0.1310000000000002,2.880416666666666,76.57083333333334,0.0,372.0,0.576,86,11.0,-21.0,0.0,-15.0,3.372284816020357,441.65536121153974,0.39591073745726985,1.2264589837189983,0.41931880343049766,48.2882357483688,12.89992063564905
2017-04-13,5.18725,0.6208333333333337,0.0790000000000006,1.105,72.52500000000002,0.0,235.9,0.551,86,12.0,-21.0,0.0154283657247867,-15.0,2.761621583610855,445.3350114118912,0.399436513639192,1.2408391631312958,0.42805871865406225,48.31889093104975,13.069908244602573
2017-04-14,4.4365,0.8999999999999999,0.0835000000000008,-0.9749999999999998,70.17083333333333,0.0,369.1,0.534,86,13.0,-21.0,0.0,-15.0,2.80240649442791,447.69363684790835,0.43100006137946245,1.2292070073892116,0.43908598863280934,47.262150039620224,13.06594724838672
2017-04-15,2.7932916666666663,0.225,0.3291666666666666,-0.7266666666666667,67.29583333333333,1.0,605.3,0.513,86,14.0,-21.0,0.0,-15.0,3.449566143719213,443.09632279434834,0.39815676887186024,1.1980328394216408,0.44658929438095646,46.21457639046963,13.143409431354064
2017-04-16,4.890791666666667,0.8125,0.0851666666666668,-1.7062500000000005,76.88333333333334,0.6999999999999997,370.3,0.495,86,15.0,-21.0,0.0051596582771712,-15.0,3.4389854492416942,439.17376253852336,0.44026835341224596,1.1641255498022705,0.4545074653189687,45.18906165975509,12.696620389301135
2017-04-17,3.991708333333334,0.2666666666666666,0.1091666666666673,-0.6749999999999999,72.95416666666667,1.7999999999999996,620.2,0.478,86,16.0,-21.0,0.0011021904296658,-15.0,3.724572631720455,435.69045520512464,0.45458743591354367,1.1352117501798935,0.46089089802194316,45.85606200546378,12.391555728759185
2017-04-18,3.2905833333333323,0.2874999999999999,0.1061666666666667,0.7970833333333335,69.525,0.0,594.7,0.459,86,17.0,-21.0,0.0033295885782498,-15.0,3.3049535043851086,432.4982969805791,0.4501286793322165,1.1040798670786767,0.46037712074570436,45.79647810194764,12.107144003055964
2017-04-19,2.259083333333333,0.7500000000000001,0.3378333333333336,2.8783333333333334,65.04166666666666,0.0,805.0,0.443,86,18.0,-21.0,0.0039861635036533,-15.0,2.445921213649021,429.8951286887847,0.4197836683276179,1.0729927382696278,0.46302590068555016,45.51266090667842,11.855884572085703
2017-04-20,6.202333333333335,0.975,0.0961666666666669,4.829999999999999,75.075,0.8999999999999998,503.0,0.426,86,19.0,-21.0,0.0,-15.0,3.1393047844827704,423.84884129639295,0.4242430469635264,1.0436476314506977,0.4597210909573996,45.04238489507996,11.537456336262574
2017-04-21,6.439625,0.5541666666666667,0.1083333333333333,6.479583333333333,73.79999999999998,0.0,623.3,0.408,86,20.0,-21.0,0.0013530561095263,-15.0,2.439807862433194,423.4305143342502,0.3973069382940242,1.0433905422561296,0.4564628045828161,44.75176813542545,11.470410833033766
2017-04-22,7.723333333333334,0.7958333333333334,0.0679999999999996,4.496666666666665,56.36250000000001,0.2,359.4,0.391,86,21.0,-21.0,0.0006735660500039,-15.0,2.5255752908872893,423.6885371234144,0.417627227891251,1.0396986676817306,0.4544077247112215,44.29890466656253,11.112593890939765
2017-04-23,4.244583333333333,0.4541666666666668,0.1251666666666668,3.353750000000001,61.55833333333333,0.8999999999999998,704.6,0.375,86,22.0,-21.0,0.0004650513818792,-15.0,3.4016943623082705,419.73360658012905,0.3741259591911915,1.0291006507991762,0.4503232349126583,44.3811706378025,10.967798201765566
2017-04-24,3.820875000000001,0.5333333333333333,0.1859999999999999,2.8404166666666666,76.39166666666667,5.700000000000002,652.1,0.361,86,23.0,-21.0,0.0,-15.0,3.958405090766848,417.35736691395766,0.34770203158108687,1.004832730242683,0.4599360799665812,44.34661442199511,10.715809869453889
2017-04-25,3.5206666666666666,0.9083333333333332,0.0994999999999999,2.36875,96.52500000000002,6.5,462.0,0.355,86,24.0,-21.0,0.0086309439199625,-15.0,4.049903424262609,413.63827041463304,0.3495794799841381,0.9632732026696954,0.4718803618793399,45.33401512910503,10.205975293022371
2017-04-26,4.7363333333333335,0.6250000000000001,0.1421666666666663,2.325416666666667,91.75833333333333,1.3000000000000005,638.2,0.357,86,25.0,-21.0,0.0096685222114804,-15.0,4.039704823047431,413.1420008069105,0.37112572509262426,0.9460923524802852,0.4746591503050014,45.726986244655016,9.693871056405744
2017-04-27,2.2715,0.2333333333333333,0.2678333333333338,3.1975,81.82499999999999,0.5999999999999998,596.7,0.44,86,26.0,-21.0,0.0012646639009929,-15.0,3.4575683720742845,406.614659718021,0.36698866118017304,0.9197268646886716,0.47720816015699136,46.04213077094855,9.326093432370437
2017-04-28,3.933583333333333,0.4958333333333333,0.2003333333333339,3.2183333333333337,88.2041666666667,0.0,722.9,0.532,86,27.0,-21.0,0.0871841202606927,-15.0,3.1722094766218527,401.13552243594546,0.3400918453481883,0.8936862570603991,0.4745005398041614,46.31896460241094,8.89606117167016
2017-04-29,5.963833333333333,0.8583333333333333,0.1035000000000003,4.36375,73.79166666666667,0.0,696.9,0.605,86,28.0,-21.0,0.0098125664342816,-15.0,2.2409592069364894,399.73214437932893,0.2963484315852311,0.8795221055462518,0.4714374777077566,46.263451338157346,8.592967909737448
2017-04-30,5.619166666666665,0.2333333333333331,0.1420000000000003,5.499999999999999,60.32083333333332,0.0,684.7,0.637,86,29.0,-21.0,0.0014803027085321,-15.0,1.6770723491819859,396.331699993613,0.27940681124019995,0.8634456678611429,0.46635425665699665,45.947864240613,8.340799154449938
2017-05-01,2.239875,0.0375,0.9046666666666664,8.706666666666667,50.020833333333336,0.0,743.7,0.635,86,30.0,-21.0,0.0008890299628557,-1.5,1.2467300113239368,390.16076973600315,0.2558211524288154,0.8173765303590378,0.46567845833398497,45.19286217069642,7.790407954107262
2017-05-02,3.228,0.0708333333333333,1.1935000000000002,8.242916666666668,54.025000000000006,0.0,759.4,0.619,86,31.0,-21.0,0.3803432480206301,-1.5,1.2404333173846336,385.24254951324207,0.2062555352837112,0.780108277075908,0.46412664564394157,44.00228113470901,7.571157553560432
2017-05-03,3.336625,0.0583333333333333,1.161833333333333,6.97,61.89166666666667,0.0,759.5,0.592,86,32.0,-7.188520778136207,0.1658376549616498,-1.5,1.2523109656318223,378.09226839061705,0.16467749086274333,0.7406007459844581,0.4786978009721631,43.39890211706062,7.316629919795342
2017-05-04,4.900416666666668,0.0499999999999999,0.3961666666666668,5.635000000000002,62.35833333333334,0.0,776.0,0.56,86,33.0,-21.0,0.7587504700148606,-15.0,0.9746759700940133,377.55391928229244,0.11637666225050018,0.7058781081141828,0.47939355427837543,43.03080892315911,6.919696006027613
2017-05-05,1.7387083333333333,0.3291666666666666,1.0334999999999992,9.000416666666666,61.12083333333333,0.0,747.1,0.527,86,34.0,-21.0,0.3901928559861963,-1.5,0.993390305788343,372.8466701818029,0.10814834112120948,0.6667823333030648,0.5121145359119524,42.851615388999505,6.456535383382748
2017-05-06,5.165458333333333,0.3041666666666666,0.8763333333333323,8.955833333333333,67.8125,0.0,622.9,0.493,86,35.0,-18.78506188606656,2.9096296606636667,-1.5,1.0494799316535284,364.88127535765835,0.10759682151625692,0.6174148129738158,0.5571996591122468,43.07260152102589,5.62591521606369
2017-05-07,5.251916666666666,0.1541666666666666,0.2888333333333337,4.6725,62.73750000000001,1.8999999999999992,697.6,0.459,86,36.0,-20.20180561552618,0.2325761981144178,-15.0,0.761375108421528,360.5839277548561,0.11281170588086979,0.6008375897164269,0.6019987477432768,43.1190118934236,4.974233137549254
2017-05-08,8.111833333333335,0.725,0.131333333333333,2.3312499999999994,71.1125,1.5,560.2,0.43,86,37.0,-21.0,0.1068812559792065,-15.0,0.336034392656264,358.6767993727109,0.11007152464158647,0.6013325636897983,0.6150924589049795,43.03048666051792,4.685159486473279
2017-05-09,4.5357916666666656,0.3625,0.1166666666666662,1.1754166666666668,67.62083333333334,0.0,572.9,0.408,86,38.0,-21.0,0.0012109505187666,-15.0,0.5282306143171852,356.84086879637425,0.12004307293857609,0.6320420159561709,0.6236878041624215,43.137060832168075,4.467030996808296
2017-05-10,3.122958333333333,0.4208333333333331,0.1766666666666667,1.4904166666666665,69.21666666666667,0.1,597.7,0.387,86,39.0,-21.0,0.0026973771507274,-15.0,0.5576626586020962,355.6629348248095,0.13225691888231025,0.6532978524513074,0.6287407719134352,43.354964015568804,4.244866659999525
2017-05-11,1.713041666666666,0.2166666666666666,0.3984999999999994,2.728333333333333,67.32499999999997,0.0,852.0,0.369,86,40.0,-21.0,0.0044321722894154,-15.0,0.5423428687848408,354.2753508281297,0.1379495391564744,0.6621497226207661,0.6563693981586436,43.53556040868068,4.229205766610144
2017-05-12,2.442,0.1375,0.6096666666666666,4.912916666666666,60.10833333333334,0.0,867.0,0.354,86,41.0,-21.0,0.6689568144602202,-1.5,0.5258251463167724,350.61748876496256,0.1458931430086849,0.6502345980993648,0.652932500693651,43.410823827309855,3.914746129055664
2017-05-13,2.143541666666667,0.2416666666666666,0.9131666666666662,5.615000000000001,62.8375,0.1,803.0,0.3389999999999999,86,42.0,-10.78949397401102,0.4580052241153748,-1.5,0.5050607633968712,348.25835103129486,0.13931712030597074,0.642126733038514,0.6406304089653796,43.264760928675564,3.948190033436469
2017-05-14,1.8071666666666664,0.9041666666666665,1.253,8.124166666666666,69.92916666666666,0.1,222.6,0.325,86,43.0,-8.839896057593968,0.7796246766433848,-8.6324,0.4965301516347417,344.6751337685664,0.123557289274971,0.6185828633744018,0.6349806696080031,43.19156714783583,3.8375131329614915
2017-05-15,4.659999999999999,0.9499999999999998,0.8316666666666661,5.227916666666666,85.1875,0.0,543.4,0.313,86,44.0,-5.786732018734939,0.6847511768711094,-8.7683,0.5782092937625463,342.84210572899593,0.1161420726441247,0.6092552011083708,0.6327564718568032,43.122275842609824,3.6676238502653296
2017-05-16,3.224541666666666,0.4125000000000001,0.4858333333333338,6.15375,75.09166666666667,0.0,779.8,0.301,86,45.0,-16.44024423015863,0.3566488209330429,-1.5,0.3093239712890109,341.7763541042022,0.1081765827535482,0.5725651522267876,0.6491797373873658,42.63496879958019,3.4519015768456542
2017-05-17,2.870833333333333,0.9541666666666664,0.8756666666666675,9.016249999999998,89.27916666666668,0.5999999999999998,235.5,0.29,86,46.0,-16.56475116371753,1.4022158825747473,-13.1663,0.29346441207057283,336.3143413407411,0.09958816355725152,0.5431743194096458,0.6451786107305298,42.006904157913894,3.205221350255015
2017-05-18,3.592333333333334,0.8625000000000003,1.2931666666666652,13.757916666666668,87.47916666666667,0.0,652.8,0.282,86,47.0,-8.60531450662465,0.6778244671107057,-1.5,0.3200447860899503,333.2622882992258,0.09111303458685335,0.521034735179844,0.6586761851169135,41.66399642880332,2.756760366901431
2017-05-19,2.724375,0.375,2.534,17.115,63.58750000000001,0.2999999999999999,767.0,0.272,86,48.0,-2.707658055229755,0.0536868271512754,-1.5,0.3352181648650081,331.4280134297491,0.07587763729896331,0.5319644435381882,0.6640144032368983,42.31306452567694,2.721425193614291
2017-05-20,3.712833333333334,0.8833333333333332,2.0453333333333337,10.819166666666666,86.65833333333335,0.1,212.7,0.264,86,49.0,-2.704986461222746,0.2644643100246364,-8.3953,0.37261857267224807,331.58986703415906,0.06876603517336631,0.5376949709277931,0.6630769165963898,42.01410417396971,2.7123778835400243
2017-05-21,3.008833333333334,0.7666666666666667,3.470000000000001,12.64,67.59583333333333,0.0,757.2,0.255,86,50.0,-4.183108456733262,0.3453036537533635,-1.5,0.37190623152280905,330.52973612479093,0.06934750467358398,0.5351560998115071,0.6597401484233129,41.899606858537375,2.5513727891111166
2017-05-22,4.789541666666666,0.6791666666666667,3.820000000000001,13.23375,69.44583333333334,0.0,508.8,0.247,86,51.0,-4.236390915485273,0.5130154018760706,-12.5615,0.2889468996175948,326.99436372771476,0.06492747049850693,0.5415940132600294,0.6715679638011275,41.675185499712434,2.423115021376204
2017-05-23,3.165125,0.7125000000000002,4.222333333333332,11.175000000000002,67.82499999999999,0.0,676.4,0.239,86,52.0,-6.111055863635901,0.3419301645300431,-12.2083,0.27035187717857484,322.59132329698883,0.05952443726434526,0.5572357566371929,0.6549200073896528,41.710991518530875,2.3462785083781035
2017-05-24,2.603166666666666,0.2083333333333333,4.247166666666667,12.837083333333334,59.74999999999999,0.0,804.0,0.231,86,53.0,-5.44951445986105,1.0795982317281303,-10.4867,0.286129072307246,321.75029276487504,0.05528136874681523,0.5697190861572631,0.6584688811365519,41.856697138831464,2.2497712558632816
2017-05-25,3.166583333333333,0.7875000000000001,4.270166666666666,12.1925,70.70416666666665,0.0,767.1,0.223,86,54.0,-5.173314810868861,1.851356610335664,-5.5161,0.2554477703693293,320.9612531264701,0.05106856450145277,0.582559528325386,0.6440953385641225,41.92066740709,2.283983232574816
2017-05-26,3.649,0.2666666666666666,4.365833333333334,12.557916666666666,67.02916666666667,5.599999999999998,767.7,0.217,86,55.0,-5.284438837709614,1.4599345448902488,-7.8046,0.21487673922280054,321.0297958177327,0.049187324863683116,0.5920748292965846,0.6369728278258827,41.429720775618,2.243641228401007
2017-05-27,2.407166666666668,0.3041666666666667,5.433166666666664,15.585833333333332,74.28333333333332,0.0,774.2,0.211,86,56.0,-5.728209247741076,0.9333804299792116,-1.5,0.1690743802584229,317.85833211132166,0.051751608610471546,0.6047892988164172,0.6337362324695407,41.95220620146443,2.219330325432528
2017-05-28,5.994125,0.5458333333333334,5.678999999999999,19.159583333333337,65.98333333333333,0.0,780.1,0.205,86,57.0,-5.082688457090601,3.241777205268787,-9.4778,0.1677913480669079,316.04892423106406,0.051401967358664015,0.6239919775033032,0.6369841130998309,42.94677706517395,2.585318078038071
2017-05-29,5.816791666666667,0.4624999999999999,5.444833333333332,11.710833333333332,69.94583333333334,0.2,825.0,0.199,86,58.0,-6.767158799355576,0.611713905716537,-10.7361,0.16046101158233772,316.5700647452886,0.05055935938866255,0.6239689077997593,0.6199178891105793,42.79654764465422,2.771558117560634
2017-05-30,2.822833333333333,0.9166666666666666,5.058666666666667,8.44375,93.49166666666667,17.0,117.9,0.194,86,59.0,-8.11571666632328,1.07181004254416,-8.3669,0.18157445187473314,316.46093262092796,0.05141571245953168,0.6182706168264822,0.642503638610651,42.960377035034305,2.9046056398863382
2017-05-31,4.462375,0.8624999999999999,4.420166666666665,10.731249999999998,77.825,0.0,757.7,0.215,86,60.0,-8.315387580307597,5.754875588529745,-8.0731,0.1498839473417017,315.0593801518917,0.05262780618375322,0.6192748357675156,0.6410691708036405,42.76742569921383,2.9897963402487133
2017-06-01,7.876166666666665,0.7000000000000001,3.026833333333334,9.471666666666666,62.258333333333326,0.0,736.8,0.213,86,61.0,-8.859355295608196,1.8363966390911344,-14.5,0.1656094635877147,312.97563042433796,0.05360053091970661,0.6184194715643747,0.6368666301965332,42.81127147496594,3.1017222160249944
2017-06-02,5.7647916666666665,0.1875,1.8110000000000013,8.499166666666666,63.55833333333334,0.0,842.0,0.209,86,62.0,-12.19188461056156,0.8730441812644129,-14.5,0.19519661434545948,312.18099703723664,0.05910084017806624,0.6203277194609208,0.6305425505923345,42.39336756824053,3.265548652092373
2017-06-03,2.6822916666666674,0.6958333333333333,1.5460000000000012,12.036250000000004,64.6125,0.6999999999999997,613.7,0.2319999999999999,86,63.0,-13.69395963964801,2.097928012074966,-14.5,0.2589767005921835,310.2445450455492,0.06254991791366378,0.6249655282835498,0.6389681819982593,41.903145969704575,3.2230038677303487
2017-06-04,2.794958333333333,0.8874999999999998,2.9840000000000018,11.52,89.02499999999998,5.900000000000002,454.3,0.244,86,64.0,-13.53496756495641,15.100833264701656,-13.3102,0.30912875065899453,307.5611168029195,0.06828344404828171,0.6148164681591849,0.6535961994495566,40.82581871155428,2.9751277738251027
2017-06-05,4.59075,0.7833333333333335,2.6281666666666688,12.53875,86.63749999999997,0.2999999999999999,691.0,0.249,86,65.0,-4.194824471223917,1.4052888816966322,-13.6912,0.3368996635583145,304.2620685693334,0.07158432296010801,0.6105584891304875,0.6648157010612907,40.84907763235628,2.761455490517448
2017-06-06,3.677041666666667,0.3916666666666666,2.9253333333333345,15.68458333333333,66.30833333333332,0.0,842.0,0.243,86,66.0,-10.17517202532019,1.991213901482352,-13.5969,0.3359876119644315,300.8138992154264,0.07123903396585042,0.6153467981096369,0.6913116441501715,41.118328156022606,2.6118005284913854
2017-06-07,4.896791666666667,0.8166666666666668,2.7986666666666675,12.925416666666663,83.33333333333333,4.400000000000001,574.4,0.236,86,67.0,-8.48258346707626,4.135368205476611,-10.3698,0.3510076603121452,297.6644088968984,0.06697425886813076,0.6112257429772139,0.7301597284707368,41.25187245749123,2.6018874721602394
2017-06-08,3.936625,0.5750000000000001,1.834,12.467083333333331,88.66250000000001,0.0,605.3,0.237,86,68.0,-8.275816141005118,1.4939336367705218,-13.6819,0.3618642468675846,295.8917557472576,0.07006874466312932,0.6136067929184688,0.757069344565146,40.99346744856981,2.5172916388918045
2017-06-09,2.86375,0.6,2.053499999999998,13.89625,81.875,0.0,620.6,0.235,86,69.0,-8.62947178861545,2.6201143581088164,-13.6559,0.36270522106204994,291.1026446509426,0.07526399056552655,0.6067188115060652,0.8064529182883361,40.914497205444164,2.4024370749046433
2017-06-10,3.1532499999999994,0.8541666666666666,3.176166666666667,14.515,79.99583333333332,4.099999999999999,604.3,0.231,86,70.0,-7.972494794685653,6.806935309968321,-13.2558,0.31456971798395905,288.6399301504454,0.0706223970177711,0.5987455130106684,0.8386755381051116,40.795934792184944,2.450540327282696
2017-06-11,3.989458333333333,0.8833333333333334,2.96916666666667,16.189583333333335,79.94583333333334,2.100000000000001,799.3,0.2319999999999999,86,71.0,-4.530402393235543,2.1028731011935724,-11.4719,0.2971995925575642,289.2884412500002,0.07052456833742435,0.6011526726651827,0.8662710168138189,41.76962568388124,2.412296891930517
2017-06-12,3.936083333333334,0.7500000000000001,3.383000000000001,14.915,91.49583333333334,1.8999999999999992,612.1,0.228,86,72.0,-5.246391222795199,1.2820453664675122,-11.5143,0.313687799406142,289.3632541960693,0.07828922925745581,0.6103572217546163,0.9073224297996527,41.79361247859912,2.5460557269857556
2017-06-13,5.631374999999999,0.7041666666666669,3.448999999999998,12.182083333333336,89.24583333333334,0.5999999999999998,337.2,0.223,86,73.0,-6.2953411109758,1.9754907585902672,-11.5528,0.31487907802768733,290.323018987624,0.09084302588665959,0.6157906456060365,0.9141922908773454,41.24197015129348,2.5578146295222277
2017-06-14,2.0543750000000003,0.1375,3.776166666666665,15.603750000000003,63.00833333333333,0.0,806.0,0.221,86,74.0,-8.561845741638678,1.690063382673864,-12.1354,0.3255820269014225,291.8260711658826,0.09260211921523454,0.6228253602867734,0.9226939525814072,41.63058328273705,2.5091269819953324
2017-06-15,1.5142083333333336,0.2791666666666667,4.121333333333336,16.184999999999995,82.2625,3.5,844.0,0.225,86,75.0,-8.71998522266574,22.61488471955578,-9.4096,0.33170122939399693,290.82397927526387,0.09003550091516467,0.6289643022909611,0.9368014869988139,42.72284160935697,2.808499541906462
2017-06-16,2.6480833333333336,0.9,4.018166666666671,16.52208333333333,75.0125,0.0,634.2,0.236,86,76.0,-1.698874809689733,1.5785335893120642,-8.6096,0.33799114289507165,295.07613846305657,0.08468872296150917,0.6323614895678771,0.9314205194732083,43.5862096951749,2.8761709783845495
2017-06-17,1.5159166666666666,0.5375,4.751666666666667,17.57416666666667,71.10833333333332,0.0,724.4,0.2329999999999999,86,77.0,-2.47019234150713,1.3483451035907497,-3.1573,0.34919998707922006,301.2461548426739,0.08712321490629707,0.6400484948855851,0.9074776125532423,44.44957778099283,2.9163933249020895
2017-06-18,4.4225,0.6958333333333333,5.3505,18.867916666666662,70.3,0.5,683.8,0.228,86,78.0,-2.627563360927416,4.369310518225767,-10.3682,0.33042422742206906,302.618516767618,0.08435051967929903,0.6419633444480548,0.8940413037198792,44.49556953954469,3.05328253410922
2017-06-19,3.962208333333334,0.4000000000000001,5.632166666666663,16.705416666666668,62.25000000000001,2.0,823.0,0.223,86,79.0,-4.645049447171321,1.2156592519700808,-6.6341,0.3066262106548107,303.08131587265143,0.07367873510319169,0.6469193112573396,0.8697859543054655,45.37266053493959,3.0793689789026133
2017-06-20,5.673541666666668,0.5,4.5494999999999965,14.180416666666668,78.61666666666666,0.8000000000000003,643.0,0.215,86,80.0,-5.151353636752401,1.7348136574947073,-8.2973,0.27663222710094676,302.27042895167654,0.05744313586449156,0.655442369953193,0.8559660204482805,45.58619872571017,3.1178583095024757
2017-06-21,5.446833333333334,0.5708333333333334,4.029333333333332,13.485416666666667,63.17499999999999,0.6999999999999997,749.2,0.209,86,81.0,-7.2522715824458,1.4756921604639168,-12.4999,0.24730260701277454,301.59643630700305,0.056441963854925836,0.6547983689667748,0.8150998177739602,45.25699262861844,3.2640944811960297
2017-06-22,3.509416666666666,0.3208333333333332,4.231666666666664,13.369999999999996,64.48333333333333,0.0,891.0,0.203,86,82.0,-9.203701667292629,2.532930378686267,-10.4055,0.2442721049005375,302.2660097302659,0.054256356358880695,0.6498695771209171,0.7770657370159154,44.312558157992896,3.029670710883249
2017-06-23,3.4530833333333337,0.5499999999999999,3.913833333333333,13.339166666666667,74.12499999999999,5.900000000000002,815.0,0.195,86,83.0,-8.930022601236272,7.993375941784169,-7.7866,0.23751172006366356,299.0333809132277,0.05084070662826899,0.6543141881945252,0.7502805902487919,43.59701392816934,3.148125886814868
2017-06-24,4.386208333333333,0.7958333333333334,3.7363333333333326,14.65,88.56666666666666,0.5,509.3,0.192,86,84.0,-8.990271467538086,8.220939955675728,-13.6219,0.23679675090948807,291.9043570466514,0.05326175386523301,0.6462218078519154,0.7480967879321005,43.016037645990714,3.267969113039336
2017-06-25,5.8120416666666666,0.4375,2.9129999999999985,14.6025,74.64583333333333,4.599999999999998,723.8,0.187,86,85.0,-9.153261715652054,3.653970397051716,-14.5,0.20839062112881593,290.77507211683593,0.05919183415891667,0.6555748048349808,0.7345055268272865,42.099607805846524,3.393737389025048
2017-06-26,5.371333333333332,0.6291666666666665,3.9125000000000014,13.392083333333332,81.51250000000002,1.6000000000000003,779.9,0.183,86,86.0,-10.40275980355242,2.692079936291802,-13.0079,0.1913875754379624,287.8910645347158,0.06633974509410989,0.6487760006259161,0.7405781986454686,41.25766794498147,3.615144681980097
2017-06-27,5.082125000000001,0.5499999999999999,3.6295,13.504166666666668,67.85833333333333,0.0,606.6,0.18,86,87.0,-11.11281507381419,3.3271993589180746,-13.5615,0.20297510699505586,287.610409616914,0.0733212395876972,0.6382656722043754,0.7219238854078006,41.044129754210886,3.8808769503973193
2017-06-28,2.567333333333334,0.2916666666666666,3.9375,13.44875,63.09166666666667,0.0,821.0,0.175,86,88.0,-11.59859598524505,4.337832342727044,-12.1755,0.2710470064782671,287.96325729642734,0.07907163041654985,0.643866646159397,0.7462327066622694,40.76385618626536,3.9835671969287114
2017-06-29,4.4595,0.3916666666666666,3.545866666666667,12.897916666666664,76.74583333333335,0.0,732.7,0.1699999999999999,86,89.0,-11.17609585600985,22.262358760794086,-9.9806,0.27098674277925006,286.42466432434634,0.08162682386330297,0.6448674498612493,0.759788376708241,40.5920455355531,4.382390272300141
2017-06-30,6.273374999999999,0.8249999999999998,3.454388888888884,16.0025,69.10000000000001,0.0,759.3,0.165,86,90.0,-10.76527039494501,4.2528042530547445,-8.7537,0.2646055853152683,285.20482059020463,0.08743951794316085,0.6509851401446879,0.7793885758567068,41.212633946663296,4.571938934542865
2017-07-01,4.782041666666666,0.8374999999999998,3.3973555555555564,16.195416666666667,70.19166666666666,0.0,787.6,0.159,86,91.0,-12.85635102331925,3.2385393038986874,-10.7959,0.28236567915987326,286.0080937238704,0.09362704127004474,0.6614903982544215,0.7999200308535278,41.8031968245936,5.030082458432502
2017-07-02,2.4422916666666667,0.9666666666666668,3.268455555555557,15.760416666666666,83.10416666666667,1.0,771.9,0.153,86,92.0,-13.14249675768557,6.030435780699541,-11.0289,0.3583853073711154,283.2247219600003,0.0947790777341322,0.6637775614099919,0.8181321881711211,42.170869524029285,5.397081210238782
2017-07-03,4.807541666666666,0.4541666666666668,3.5908111111111136,15.32125,84.39166666666667,5.099999999999998,678.7,0.148,86,93.0,-8.637441138878994,15.617266907805458,-13.6214,0.3987603280488034,282.62536808761706,0.0901374058572724,0.6745490012722131,0.8360592605858528,42.69669823189298,5.819327725833735
