Date	NOX	NH4	PO4	TotP	Si	Chl	O2	SST	delT	U	AirT	Humidity	CC	Prec(mm/d)	swr(w/m2)	inflow(m3/s)	outflow(m3/s)	month	Ice_d	days from iceoff	MLD	W	thermD	YY
2005-04-19	8.0	0.143	0.097	0.782	47.4	8.32	436.72	3.81148	0.0083600000000001	5.044333333333333	0.9379166666666666	66.625	0.0249999999999999	0.0	738.0	1.23	-1.972	4	74	8.0	-21.0	0.00157902716522	-15.0	2005
2005-04-26	0.5	0.143	0.097	0.876	29.3	13.135	488.54333333333335	4.359349999999999	0.0405999999999995	1.9297916666666663	4.5675	66.125	0.4875000000000001	0.0	775.0	0.732	-1.637	4	74	15.0	-21.0	0.6891518411061481	-15.0	2005
2005-05-03	0.143	0.429	0.129	0.532	23.8	12.764	428.13	5.964833333333334	1.1108333333333338	2.400208333333333	6.012083333333332	92.375	0.9875	3.5	113.8	0.499	-1.386	5	74	22.0	-5.715430566597827	0.4776335051583342	-13.2564	2005
2005-05-17	0.014	0.286	0.003	0.344	17.1	2.473	399.22	9.549333333333331	1.303333333333331	5.464833333333334	8.52125	65.0	0.8125	0.0	703.0	0.505	-1.083	5	74	36.0	-11.29736322881948	5.992028739355564	-13.6571	2005
2005-05-24	0.143	1.0	0.003	0.469	20.5	1.75	362.5	11.479166666666666	2.5711666666666666	3.938958333333333	13.18625	75.08333333333333	0.8541666666666669	2.299999999999999	609.0	0.353	-0.959	5	74	43.0	-3.188465266235537	1.074770146942347	-5.3105	2005
2005-05-31	0.15	0.214	0.032	0.375	35.3	2.064	330.4725	12.176333333333332	0.5223333333333322	5.723624999999999	8.013333333333334	75.375	0.8375	1.3999999999999997	623.3	0.278	-0.869	5	74	50.0	-14.61272697641271	3.164705870848115	-13.529	2005
2005-06-07	0.286	0.429	0.065	0.375	24.8	1.978	316.41	12.510833333333332	1.118833333333333	5.383916666666667	10.376666666666669	62.5	0.5499999999999999	0.0	814.0	0.258	-0.792	6	74	57.0	-12.08272870961165	6.3798862055711965	-13.5589	2005
2005-06-14	0.214	0.286	0.032	0.438	27.9	1.295	314.8475	14.213666666666668	2.635666666666668	3.1430416666666665	13.700416666666664	77.20833333333333	0.3124999999999999	0.0	831.0	1.036	-0.757	6	74	64.0	-6.219064818699517	2.2781167321893374	-4.9783	2005
2005-06-21	0.071	0.143	0.065	0.344	29.8	1.515	302.3475	17.9965	6.339500000000001	2.9518750000000007	19.23208333333333	77.28750000000001	0.6125000000000002	26.399999999999988	808.0	0.681	-0.735	6	74	71.0	-6.153079488728328	8.90644591890226	-5.2855	2005
2005-06-28	0.143	0.714	0.129	0.469	30.9	2.043	283.5975	18.024	5.550999999999997	4.301041666666666	12.937083333333332	74.0	0.6208333333333335	6.3	520.1	0.611	-0.721	6	74	78.0	-7.51687720099817	2.271050026810345	-9.641	2005
2005-07-05	0.071	0.357	0.032	0.438	35.2	1.52	309.375	18.715166666666665	6.3551666666666655	2.0710833333333336	19.0375	66.20833333333333	0.0499999999999999	0.0	794.0	0.517	-0.685	7	74	85.0	-1.615619349513244	1.491208895422247	-1.5	2005
2005-07-12	0.143	0.429	0.065	0.5	35.6	1.61	294.5325	22.84566666666667	10.42666666666667	2.6343333333333336	23.63208333333333	68.66666666666667	0.5125000000000001	0.0	774.0	0.399	-0.619	7	74	92.0	-2.673004474889053	4.108062426493086	-3.719	2005
2005-07-19	0.071	0.929	0.065	0.563	36.9	2.291	284.38	21.828000000000003	9.061000000000003	2.197875	19.31125	81.125	0.3666666666666667	1.3000000000000005	739.0	0.292	-0.638	7	74	99.0	-4.434617226999563	5.598759168487234	-4.787	2005
2005-07-26	0.571	0.857	0.097	0.907	41.1	7.346	267.1875	19.3965	5.855499999999999	3.3661250000000003	17.192916666666665	91.33333333333331	0.8833333333333334	1.1000000000000003	421.8	0.389	-0.728	7	74	106.0	-6.678238009654023	8.01839719872685	-6.6411	2005
2005-08-02	0.214	0.571	0.065	0.626	35.7	4.513	281.25	19.613666666666663	5.729666666666663	3.1946250000000003	16.21166666666667	83.66666666666667	0.5000000000000001	0.0	784.0	0.369	-0.713	8	74	113.0	-5.97783859672588	14.402294101216375	-9.1854	2005
2005-08-09	0.364	0.643	0.032	0.344	39.9	9.872	281.25	18.467166666666667	4.050166666666668	4.870916666666667	17.906666666666666	87.125	0.9250000000000002	15.100000000000003	610.8	0.369	-0.704	8	74	120.0	-9.558599475285854	8.252057742211534	-10.2116	2005
2005-08-17	0.214	0.429	0.032	1.814	39.9	8.03	287.5	18.668000000000003	4.609000000000004	1.7679583333333329	15.284166666666664	78.20833333333333	0.2749999999999999	0.0	726.0	0.625	-0.765	8	74	128.0	-10.03228684498342	4.064870517626828	-9.826	2005
2005-08-23	0.364	1.429	0.065	1.001	32.5	7.073	280.47	19.30483333333333	5.135833333333331	2.209125	15.30625	82.75	0.4375	0.0	687.8	0.406	-0.765	8	74	134.0	-6.178874261905708	19.580194389374544	-8.9197	2005
2005-09-07	0.286	8.0	0.226	0.845	28.6	9.064	292.97	17.295666666666666	0.5386666666666642	4.936291666666667	17.549583333333334	81.29166666666667	0.4583333333333333	2.100000000000001	485.6	0.213	-0.837	9	74	149.0	-16.43932295903893	3.3442058684886127	-14.5	2005
2005-09-13	0.429	1.286	0.42	0.938	30.2	6.241	287.5	16.261166666666664	0.2161666666666626	4.0683750000000005	11.53625	73.04166666666667	0.5291666666666667	1.3000000000000005	468.1	0.18	-0.875	9	74	155.0	-21.0	0.065509234944653	-15.0	2005
2005-09-20	1.0	2.0	0.71	1.126	34.7	4.837	315.63	14.327999999999998	0.1099999999999976	7.704750000000001	15.265	77.5	0.7083333333333335	0.0	310.7	0.156	-0.938	9	74	162.0	-21.0	0.1764956450675517	-15.0	2005
2005-09-27	1.286	1.714	0.549	1.001	35.3	4.73	307.815	14.4345	0.1765000000000007	4.011	14.209583333333336	88.04166666666667	0.45	0.1	472.9	0.133	-0.983	9	74	169.0	-12.79020198933467	0.4437300717146522	-15.0	2005
2005-10-11	2.071	2.0	0.807	1.282	40.3	3.821	322.66	13.060500000000005	0.1045000000000033	3.438083333333333	13.164583333333336	87.875	0.3083333333333333	0.0	370.2	0.105	-0.777	10	74	183.0	-21.0	0.0232633533307691	-15.0	2005
2005-10-25	3.143	3.071	0.904	1.157	45.7	2.396	322.66	9.38771	-0.1043699999999994	4.482041666666667	2.18625	89.79166666666667	0.75	17.0	125.4	0.136	-0.76	10	74	197.0	-21.0	0.0142510239455715	-15.0	2005
2005-11-16	6.0	0.929	0.807	1.126	52.7	1.71	356.25	7.343545	-0.036035	3.6250416666666654	0.6625	89.70833333333333	0.4416666666666667	1.0	129.9	0.205	-0.333	11	74	219.0	-21.0	0.0011754367467577	-15.0	2005
2005-11-29	7.643	0.286	0.775	0.97	56.8	1.234	381.25	4.197125	-0.033125	4.812749999999999	-1.94	94.29166666666669	0.7625000000000001	0.1	162.9	0.252	-0.257	11	74	232.0	-21.0	0.0007386807025403	-15.0	2005
2006-04-11	11.857	0.643	0.387	1.001	69.6	1.918	381.0175	1.559745	-1.279505	1.932666666666666	2.0275000000000003	80.45833333333333	0.1791666666666666	0.0	661.4	3.077	-0.718	4	113	-13.0	-21.0	0.0	-14.5	2006
2006-04-25	1.929	1.429	0.129	1.47	48.7	21.161	498.44	3.606775	0.1324449999999997	3.3352500000000007	6.902499999999999	72.29166666666667	0.8041666666666667	0.0	682.4	4.447	-2.752	4	113	1.0	-21.0	0.0636886662218583	-15.0	2006
2006-05-03	0.571	0.007	0.065	0.938	30.5	16.356	498.4375	5.300605	-0.0296849999999997	3.05625	8.09125	80.04166666666667	0.4916666666666667	0.0	715.0	2.137	-2.815	5	113	9.0	-21.0	0.0070028511723745	-15.0	2006
2006-05-09	0.357	0.214	0.065	0.813	28.6	6.46	474.2225	7.50084	1.7710100000000004	3.796916666666666	12.900416666666665	55.41666666666666	0.0	0.0	762.0	1.238	-2.419	5	113	15.0	-2.188721378247587	0.7447464849289269	-14.5	2006
2006-05-16	0.429	0.357	0.065	0.688	28.9	3.526	421.8775	10.028515	1.7122649999999986	3.112458333333334	6.088333333333334	67.08333333333333	0.0375	0.0	836.0	0.874	-2.024	5	113	22.0	-10.71571032262213	1.5798553852693968	-14.5	2006
2006-05-23	0.429	0.071	0.097	0.282	32.3	2.363	278.91	10.32415	2.08099	2.8225833333333337	11.703333333333338	90.95833333333331	0.925	0.5999999999999998	321.5	1.022	-1.722	5	113	29.0	-4.734671971544476	0.7563023076529558	-14.5	2006
2006-05-30	0.5	0.357	0.065	0.438	32.7	1.719	330.2133333333333	11.1595	0.9204999999999988	4.0218750000000005	8.5025	88.29166666666667	0.9041666666666668	1.3000000000000005	756.0	1.069	-1.495	5	113	36.0	-5.91013432078626	2.547455752272598	-11.2657	2006
2006-06-12	0.357	0.429	0.065	0.5	34.7	1.538	314.065	16.4515	4.618499999999999	2.14125	22.140833333333337	67.20833333333333	0.2249999999999999	0.0	790.0	0.862	-1.171	6	113	49.0	-3.239895779024088	0.8964434452779884	-3.3725	2006
2006-06-20	0.5	0.929	0.226	0.469	33.7	1.427	275.785	19.6625	7.946499999999999	4.105375	18.805000000000003	80.20833333333333	0.6291666666666668	0.0	710.0	0.641	-0.98	6	113	57.0	-3.552338203103552	1.2203840439799951	-3.6138	2006
2006-06-29	0.357	1.214	0.097	0.375	42.1	1.777	244.5325	17.988166666666668	6.123166666666668	3.301958333333333	16.237916666666667	73.20833333333333	0.0916666666666666	0.0	840.0	0.418	-0.807	6	113	66.0	-7.592646430942234	1.7451109119482004	-9.3592	2006
2006-07-04	0.286	0.5	0.003	0.438	43.0	2.405	257.8125	20.279666666666667	8.298666666666668	3.615583333333333	20.304166666666667	71.875	0.7041666666666669	6.3	721.0	0.333	-0.73	7	113	71.0	-2.69170950630355	2.191774354767653	-8.0787	2006
2006-07-11	0.643	2.0	0.097	1.095	43.8	3.188	237.0325	21.913833333333333	9.470833333333331	3.432125	19.86958333333333	77.41666666666667	0.7791666666666667	0.0	545.9	0.238	-0.627	7	113	78.0	-5.425617970304077	1.7092224479364864	-6.7629	2006
2006-07-19	0.571	0.214	0.065	0.782	48.0	5.969	276.25	19.955166666666667	7.037166666666668	3.6929999999999983	14.43583333333333	64.33333333333333	0.1125	0.0	802.0	0.166	-0.646	7	113	86.0	-9.181665336090504	3.47207199394993	-8.9199	2006
2006-07-25	0.357	1.357	0.323	0.782	46.4	5.634	310.16	20.934833333333334	8.221833333333334	2.017	21.191666666666663	72.14583333333333	0.3	0.0	754.0	0.132	-0.772	7	113	92.0	-3.1100934225547	7.627149125678798	-8.6716	2006
2006-08-01	0.929	1.5	0.065	0.657	50.7	4.801	303.1275	20.747	7.804	3.3858333333333337	18.894583333333337	86.875	0.7666666666666667	0.4000000000000001	433.2	0.112	-0.819	8	113	99.0	-5.017003250506046	5.375402554253246	-9.3873	2006
2006-08-08	1.143	1.643	0.097	0.97	47.8	5.238	317.9725	21.244333333333334	7.891333333333334	1.465625	19.26833333333333	71.14583333333333	0.5125000000000001	0.0	657.9	0.088	-0.965	8	113	106.0	-2.686313797358884	4.032031480600191	-8.8747	2006
2006-08-17	0.857	0.714	0.003	0.532	45.7	8.039	228.13	20.111666666666668	5.769666666666668	4.433375000000001	17.80291666666667	86.33333333333333	0.4833333333333331	0.0	458.4	0.134	-1.098	8	113	115.0	-8.665183573321237	12.719945069983156	-10.548	2006
2006-08-29	0.357	0.857	0.065	1.001	33.0	8.077	285.94	19.9265	5.987500000000001	3.4449166666666664	16.650833333333335	80.83333333333333	0.4791666666666667	0.0	649.8	0.179	-0.702	8	113	127.0	-8.64858600275454	12.02927483815206	-10.6224	2006
2006-09-06	1.429	1.286	0.161	1.189	39.4	4.862	216.41	18.3435	3.2494999999999994	4.756166666666666	14.392499999999998	82.04166666666667	0.8625000000000002	0.5999999999999998	283.1	0.148	-0.713	9	113	135.0	-14.15528500556411	2.8262527154848547	-13.4712	2006
2006-09-12	1.286	2.857	0.71	1.439	46.7	3.782	260.1575	16.708166666666667	0.3601666666666681	5.24575	17.19083333333333	81.125	0.2249999999999997	0.0	534.2	0.2339999999999999	-0.59	9	113	141.0	-21.0	0.3815727100918663	-15.0	2006
2006-09-26	2.643	2.714	0.904	1.627	55.9	5.168	268.5925	15.8646	0.0625	2.7791250000000005	15.25625	92.83333333333331	0.75	0.0	386.4	0.132	-0.983	9	113	155.0	-9.2073657948415	0.3673420764111367	-15.0	2006
2006-10-03	3.5	2.0	1.001	1.564	54.1	4.416	261.015	15.559349999999998	0.0235499999999984	1.3371666666666666	12.800416666666663	94.375	0.8166666666666672	0.0	181.9	0.398	-0.729	10	113	162.0	-21.0	0.1895997341504279	-15.0	2006
2006-10-16	6.214	0.007	1.098	1.783	60.8	2.933	274.76750000000004	13.315	-0.0312000000000001	3.7561666666666658	10.02208333333333	87.75	0.9583333333333334	0.0	217.3	0.765	-0.365	10	113	175.0	-21.0	0.0045179680509401	-15.0	2006
2006-11-08	12.143	0.5	1.162	1.627	69.3	1.607	356.485	6.223375	-0.1515450000000004	2.815000000000001	3.4841666666666664	89.33333333333333	0.3125	0.0	235.0	1.174	-0.346	11	113	198.0	-21.0	0.0025089987968709	-15.0	2006
2006-11-15	11.286	0.5	0.872	1.658	69.2	1.97	310.31333333333333	5.14823	0.0101899999999997	5.722958333333335	4.76625	90.83333333333331	0.3041666666666666	0.0	197.6	1.056	-0.519	11	113	205.0	-21.0	0.0018271042794224	-15.0	2006
2007-04-02	13.357	0.214	0.258	1.376	73.9	10.715	425.3125	3.34675	0.00638	3.7974166666666656	7.169583333333335	59.875	0.5708333333333333	0.0	607.9	1.19	-1.424	4	67	1.0	-21.0	0.0051920294328069	-15.0	2007
2007-04-11	3.857	0.357	0.003	1.001	38.7	29.905	461.04333333333335	3.5962300000000003	-0.0313499999999997	8.521458333333333	8.125833333333334	47.54166666666666	0.3625	0.0	683.1	0.683	-1.295	4	67	10.0	-21.0	0.005959050555101	-15.0	2007
2007-04-17	0.286	0.357	0.003	0.751	44.6	10.925	490.39	5.526085	0.3075850000000004	3.530916666666666	7.634166666666665	66.29166666666667	0.7333333333333334	1.7999999999999996	591.5	0.517	-1.196	4	67	16.0	-21.0	0.0183506034455319	-15.0	2007
2007-04-25	0.079	0.429	0.065	0.938	39.6	8.048	445.3925	6.18235	0.2667199999999994	3.647958333333333	11.889583333333333	80.29166666666667	0.6833333333333335	0.0	554.6	1.112	-1.125	4	67	24.0	-21.0	0.6249206022059771	-15.0	2007
2007-05-03	0.071	0.286	0.097	0.657	36.7	5.238	392.735	8.042085	0.1679149999999998	3.442375	8.365833333333333	62.66666666666666	0.4583333333333333	0.0	739.0	0.775	-1.054	5	67	32.0	-21.0	0.0190081308769695	-15.0	2007
2007-05-10	0.143	0.929	0.452	0.907	37.0	2.612	362.58	9.243335	0.2516650000000009	2.63675	8.28375	74.25	0.4125	0.0	712.0	0.503	-0.974	5	67	39.0	-14.71844788305401	2.5560361701182925	-15.0	2007
2007-05-15	0.071	0.643	0.032	0.344	35.6	2.582	352.735	9.74417	0.1762499999999995	7.941208333333332	11.685833333333331	58.16666666666666	0.5208333333333334	0.0	786.0	0.396	-0.911	5	67	44.0	-8.285966474593428	0.5584757422920799	-15.0	2007
2007-06-04	0.286	1.0	0.065	0.563	42.7	1.396	322.735	13.4775	0.8412999999999986	1.5755	15.30916666666667	67.25	0.0375	0.0	814.0	0.485	-0.687	6	67	64.0	-8.193173449976674	6.238939856320627	-14.5	2007
2007-06-20	0.5	1.286	0.097	0.657	45.7	0.941	281.3275	16.22065	2.668149999999999	2.76375	15.947916666666666	67.75	0.3208333333333332	1.6000000000000003	781.0	0.276	-0.553	6	67	80.0	-5.197999885598898	5.199185778662762	-14.5	2007
2007-06-28	0.5	2.071	0.003	0.375	49.3	1.974	274.90000000000003	17.17533333333333	3.0703333333333305	3.640874999999999	15.085833333333332	81.875	0.8125	4.099999999999999	640.9	0.268	-0.56	6	67	88.0	-8.134288774124496	2.0065933096943644	-12.5078	2007
2007-07-04	1.214	2.0	0.097	0.438	56.8	2.446	271.64250000000004	17.719666666666665	3.2496666666666645	3.748208333333333	16.637916666666666	88.91666666666667	0.9166666666666664	1.1000000000000003	396.1	0.227	-0.498	7	67	94.0	-3.679663913274174	0.9930509846855156	-9.845	2007
2007-07-10	0.643	2.214	0.097	0.438	56.9	3.006	256.25249999999994	18.15083333333333	3.651833333333334	1.9787916666666667	16.275833333333335	87.83333333333333	0.8958333333333335	0.2	685.2	0.198	-0.479	7	67	100.0	-10.63932930131904	3.8607008176867015	-12.308	2007
2007-08-01	0.143	1.357	0.646	1.314	50.7	17.327	290.55	18.77	0.477999999999998	5.594958333333332	18.451666666666668	65.29166666666667	0.3875	0.0	723.0	0.15	-0.45	8	67	122.0	-12.81071954537693	4.310528141155756	-15.0	2007
2007-08-07	0.15	1.5	0.065	0.626	39.4	7.681	282.5	19.661666666666665	1.7266666666666666	2.280083333333333	19.835	80.91666666666667	0.0	0.0	738.0	0.122	-0.564	8	67	128.0	-6.939635817344219	12.182178470434405	-1.5	2007
2007-08-14	0.286	1.286	0.129	0.782	26.5	4.253	297.735	20.974666666666668	3.203666666666667	2.674583333333333	19.190416666666664	77.70833333333333	0.6166666666666667	0.0	650.9	0.108	-0.561	8	67	135.0	-4.015217801301224	2.9188755653596705	-8.3455	2007
2007-08-23	2.0	3.0	0.646	0.845	40.1	7.289	259.14	19.337166666666665	0.9561666666666646	3.1212083333333336	18.651666666666664	84.20833333333333	0.7041666666666667	6.0	642.5	0.083	-0.587	8	67	144.0	-13.11576084133642	5.074418513359264	-13.5671	2007
2007-09-17	0.014	1.429	0.129	1.72	38.0	4.623	298.9075	14.142166666666668	0.1031666666666684	6.365708333333334	14.0525	82.45833333333333	0.7208333333333333	0.0	539.0	0.217	-0.818	9	67	169.0	-21.0	0.0159320473454031	-15.0	2007
2007-10-03	1.714	1.643	0.84	1.47	40.3	3.686	269.9225	13.0585	0.1364999999999998	2.2210000000000005	10.158333333333331	89.625	0.6583333333333333	0.0	399.4	0.32	-0.548	10	67	185.0	-21.0	0.0577678546683737	-15.0	2007
2007-10-15	2.143	1.286	0.969	1.282	41.0	2.773	296.1725	10.214	0.2100000000000008	3.3170416666666664	10.46875	94.33333333333331	1.0	0.0	204.5	0.317	-0.515	10	67	197.0	-21.0	0.0034521669207716	-15.0	2007
2008-04-02	0.014	0.429	0.003	0.594	0.4	8.908	425.08	2.662375	0.137045	2.184708333333333	6.008749999999999	79.25	0.2708333333333333	0.0	540.4	1.988	-1.96	4	12	38.0	-21.0	0.0099635133197059	-15.0	2008
2008-05-06	0.071	0.786	0.003	0.438	3.6	1.388	349.295	11.322166666666666	4.649166666666666	2.531458333333334	9.949583333333337	64.91666666666667	0.5041666666666668	0.0	685.6	0.607	-1.847	5	12	72.0	-4.538619264493521	0.7934453049185953	-4.8059	2008
2008-05-14	0.014	0.357	0.003	0.438	5.8	1.992	327.735	11.261333333333331	2.572333333333333	3.011833333333333	5.869583333333335	80.33333333333333	0.65	1.0	406.7	0.574	-1.615	5	12	80.0	-9.91666144078709	2.003748429408926	-12.285	2008
2008-05-20	0.014	0.007	0.129	0.438	7.0	1.759	313.9075	10.619333333333332	1.155333333333331	2.516541666666668	7.978749999999999	79.41666666666667	0.3958333333333333	2.100000000000001	621.3	0.572	-1.45	5	12	86.0	-13.04885164971248	8.468453601051234	-13.7997	2008
2008-05-28	0.643	0.714	0.003	0.594	9.3	1.382	316.72	13.025333333333334	3.512333333333334	2.006333333333333	13.493333333333334	56.91666666666666	0.3249999999999999	0.0	825.0	0.58	-1.251	5	12	94.0	-4.721807095301843	1.678033083294394	-8.5378	2008
2008-06-03	0.014	0.071	0.032	0.469	10.4	1.35	309.38	15.393666666666666	5.249666666666666	5.2363333333333335	14.645416666666668	59.625	0.0	0.0	855.0	0.499	-1.103	6	12	100.0	-4.231352234377381	1.1123255573402442	-5.9251	2008
2008-06-11	0.071	0.571	0.003	0.5	14.1	1.24	311.8775	17.618	5.985999999999999	4.336875	11.528333333333336	81.875	0.8166666666666668	1.7000000000000002	441.2	0.335	-0.935	6	12	108.0	-9.153493151445849	1.7041891920239285	-10.5302	2008
2008-06-16	0.071	0.429	0.065	0.563	17.1	2.298	283.05	16.273	4.448	3.3734583333333323	13.683750000000002	74.95833333333333	0.7958333333333333	0.0	830.0	0.276	-0.872	6	12	113.0	-9.246516244732902	3.5974088457200395	-8.3507	2008
2008-06-24	0.014	0.643	0.065	0.876	22.5	2.063	280.86249999999995	16.973833333333335	3.7958333333333343	5.990583333333334	14.579166666666666	67.25	0.9875	0.0	459.1	0.203	-0.819	6	12	121.0	-10.05039737020136	3.202006372377774	-13.025	2008
2008-07-01	0.071	0.5	0.003	0.657	25.9	2.494	294.2975	18.029333333333337	4.846333333333337	2.0619583333333336	16.294583333333332	83.25	0.2791666666666666	0.0	821.0	0.221	-0.817	7	12	128.0	-3.641832210680952	4.204396666419931	-13.6336	2008
